"fullName" "position" "season" "team" "fantasyPoints" "games" "goals" "assists" "points" "plusMinus" "shortHandedPoints" "shots" "hits" "blocked" "wins" "goalsAgainst" "saves" "shutouts"
"Connor McDavid" "C" 20212022 "Edmonton Oilers" 385 80 44 79 123 28 1 314 75 26 0 0 0 0
"Auston Matthews" "C" 20212022 "Toronto Maple Leafs" 379.6 73 60 46 106 20 0 348 67 62 0 0 0 0
"Leon Draisaitl" "C" 20212022 "Edmonton Oilers" 354.8 80 55 55 110 17 1 278 53 25 0 0 0 0
"Kirill Kaprizov" "W" 20212022 "Minnesota Wild" 352.2 81 47 61 108 27 0 289 73 29 0 0 0 0
"Jonathan Huberdeau" "W" 20212022 "Florida Panthers" 348.1 80 30 85 115 35 5 222 99 28 0 0 0 0
"Johnny Gaudreau" "W" 20212022 "Calgary Flames" 346.3 82 40 75 115 64 0 262 10 9 0 0 0 0
"Matthew Tkachuk" "W" 20212022 "Calgary Flames" 342.3 82 42 62 104 57 0 253 93 20 0 0 0 0
"Alex Ovechkin" "W" 20212022 "Washington Capitals" 338.7 77 50 40 90 8 1 334 155 25 0 0 0 0
"Steven Stamkos" "C" 20212022 "Tampa Bay Lightning" 337.3 81 42 64 106 24 0 241 93 31 0 0 0 0
"J.T. Miller" "C" 20212022 "Vancouver Canucks" 328.9 80 32 67 99 15 2 206 172 56 0 0 0 0
"Roman Josi" "D" 20212022 "Nashville Predators" 328.2 80 23 73 96 13 0 281 66 133 0 0 0 0
"Cale Makar" "D" 20212022 "Colorado Avalanche" 314.4 77 28 58 86 48 0 240 95 110 0 0 0 0
"Kyle Connor" "W" 20212022 "Winnipeg Jets" 311.8 79 47 46 93 -3 3 317 32 23 0 0 0 0
"Mitchell Marner" "W" 20212022 "Toronto Maple Leafs" 309 72 35 62 97 23 4 224 75 31 0 0 0 0
"Chris Kreider" "W" 20212022 "New York Rangers" 306.2 81 52 25 77 19 3 258 141 39 0 0 0 0
"Mikko Rantanen" "W" 20212022 "Colorado Avalanche" 305.8 75 36 56 92 35 0 254 58 43 0 0 0 0
"Elias Lindholm" "C" 20212022 "Calgary Flames" 302.1 82 42 40 82 61 2 235 66 52 0 0 0 0
"Timo Meier" "W" 20212022 "San Jose Sharks" 302 77 35 41 76 -3 0 326 162 61 0 0 0 0
"Nathan MacKinnon" "C" 20212022 "Colorado Avalanche" 299.7 65 32 56 88 22 0 299 68 39 0 0 0 0
"Victor Hedman" "D" 20212022 "Tampa Bay Lightning" 298.9 82 20 65 85 26 0 219 93 129 0 0 0 0
"Aleksander Barkov" "C" 20212022 "Florida Panthers" 296.2 67 39 49 88 36 5 214 50 42 0 0 0 0
"Filip Forsberg" "W" 20212022 "Nashville Predators" 295.6 69 42 42 84 12 0 226 112 48 0 0 0 0
"Jake Guentzel" "W" 20212022 "Pittsburgh Penguins" 290.5 76 40 44 84 13 0 264 72 38 0 0 0 0
"Brady Tkachuk" "W" 20212022 "Ottawa Senators" 281 79 30 37 67 -7 0 288 270 25 0 0 0 0
"Kevin Fiala" "W" 20212022 "Minnesota Wild" 280 82 33 52 85 23 1 262 52 21 0 0 0 0
"Alex DeBrincat" "W" 20212022 "Chicago Blackhawks" 277.8 82 41 37 78 -13 0 270 101 35 0 0 0 0
"Vladimir Tarasenko" "W" 20212022 "St. Louis Blues" 277.2 75 34 48 82 7 1 230 83 45 0 0 0 0
"David Pastrnak" "W" 20212022 "Boston Bruins" 277.1 72 40 37 77 13 0 312 63 14 0 0 0 0
"Joe Pavelski" "C" 20212022 "Dallas Stars" 277 82 27 54 81 11 0 216 104 69 0 0 0 0
"Matt Duchene" "C" 20212022 "Nashville Predators" 277 78 43 43 86 6 0 228 31 28 0 0 0 0
"Mika Zibanejad" "C" 20212022 "New York Rangers" 276.3 81 29 52 81 30 5 219 67 47 0 0 0 0
"Sebastian Aho" "C" 20212022 "Carolina Hurricanes" 273.7 79 37 44 81 18 3 221 76 23 0 0 0 0
"Patrick Kane" "W" 20212022 "Chicago Blackhawks" 271.7 78 26 66 92 -19 0 287 11 26 0 0 0 0
"Nazem Kadri" "C" 20212022 "Colorado Avalanche" 271.4 71 28 59 87 13 0 247 52 19 0 0 0 0
"Brad Marchand" "W" 20212022 "Boston Bruins" 268.8 70 32 48 80 16 2 242 78 20 0 0 0 0
"Sidney Crosby" "C" 20212022 "Pittsburgh Penguins" 267.4 69 31 53 84 19 0 208 50 37 0 0 0 0
"Andrei Svechnikov" "W" 20212022 "Carolina Hurricanes" 265.8 78 30 39 69 19 0 249 189 15 0 0 0 0
"Kris Letang" "D" 20212022 "Pittsburgh Penguins" 265.6 78 10 58 68 20 0 214 171 122 0 0 0 0
"Roope Hintz" "C" 20212022 "Dallas Stars" 264.4 80 37 35 72 15 4 213 82 53 0 0 0 0
"Artemi Panarin" "W" 20212022 "New York Rangers" 264.3 75 22 74 96 21 0 177 22 14 0 0 0 0
"Sam Reinhart" "C" 20212022 "Florida Panthers" 262.5 78 33 49 82 25 2 186 49 30 0 0 0 0
"William Nylander" "W" 20212022 "Toronto Maple Leafs" 255.3 81 34 46 80 -9 0 256 19 30 0 0 0 0
"John Tavares" "C" 20212022 "Toronto Maple Leafs" 255.2 79 27 49 76 -8 0 237 90 44 0 0 0 0
"Patrice Bergeron" "C" 20212022 "Boston Bruins" 253.5 73 25 40 65 26 3 293 78 45 0 0 0 0
"John Carlson" "D" 20212022 "Washington Capitals" 253.1 78 17 54 71 13 3 195 73 112 0 0 0 0
"Pavel Buchnevich" "W" 20212022 "St. Louis Blues" 250.4 73 30 46 76 29 4 199 57 15 0 0 0 0
"Ryan Hartman" "W" 20212022 "Minnesota Wild" 249.9 82 34 31 65 31 0 239 72 48 0 0 0 0
"Evgeny Kuznetsov" "C" 20212022 "Washington Capitals" 244.6 79 24 54 78 7 5 208 42 25 0 0 0 0
"Morgan Rielly" "D" 20212022 "Toronto Maple Leafs" 242.5 82 10 58 68 16 3 221 92 87 0 0 0 0
"Adam Fox" "D" 20212022 "New York Rangers" 242.4 78 11 63 74 18 2 158 30 128 0 0 0 0
"Tage Thompson" "W" 20212022 "Buffalo Sabres" 242.2 78 38 30 68 -17 2 253 66 25 0 0 0 0
"Juuse Saros" "G" 20212022 "Nashville Predators" 239.7 67 0 0 0 0 0 0 0 0 38 173 1934 4
"Mats Zuccarello" "W" 20212022 "Minnesota Wild" 237.2 70 24 55 79 21 0 159 36 33 0 0 0 0
"Charlie McAvoy" "D" 20212022 "Boston Bruins" 235.5 78 10 46 56 31 1 166 155 130 0 0 0 0
