"fullName" "position" "season" "team" "fantasyPoints" "games" "goals" "assists" "points" "plusMinus" "shortHandedPoints" "shots" "hits" "blocked" "wins" "goalsAgainst" "saves" "shutouts"
"Tomas Hertl" "C" 20212022 "San Jose Sharks" 235.4 82 30 34 64 -9 1 205 105 57 0 0 0 0
"Jacob Markstrom" "G" 20212022 "Calgary Flames" 233.95 63 0 0 0 0 0 0 0 0 37 137 1617 9
"Jacob Trouba" "D" 20212022 "New York Rangers" 233.8 81 11 28 39 25 2 204 207 177 0 0 0 0
"MacKenzie Weegar" "D" 20212022 "Florida Panthers" 233.2 80 8 36 44 40 2 203 179 156 0 0 0 0
"Igor Shesterkin" "G" 20212022 "New York Rangers" 232.6 53 0 0 0 0 0 0 0 0 36 106 1516 6
"Elias Pettersson" "C" 20212022 "Vancouver Canucks" 231.4 80 32 36 68 1 2 192 49 43 0 0 0 0
"Dylan Larkin" "C" 20212022 "Detroit Red Wings" 230.6 71 31 38 69 -18 1 212 76 28 0 0 0 0
"Jonathan Marchessault" "C" 20212022 "Vegas Golden Knights" 230.4 76 30 36 66 3 0 251 61 17 0 0 0 0
"Anze Kopitar" "C" 20212022 "Los Angeles Kings" 229.9 81 19 48 67 -6 1 210 72 71 0 0 0 0
"Tom Wilson" "W" 20212022 "Washington Capitals" 229.6 78 24 28 52 13 3 151 240 55 0 0 0 0
"Pierre-Luc Dubois" "W" 20212022 "Winnipeg Jets" 228.1 81 28 32 60 -6 0 233 112 43 0 0 0 0
"Jordan Kyrou" "C" 20212022 "St. Louis Blues" 226.7 74 27 48 75 10 1 188 6 23 0 0 0 0
"Jesper Bratt" "W" 20212022 "New Jersey Devils" 225.6 76 26 47 73 0 0 197 26 30 0 0 0 0
"Adrian Kempe" "C" 20212022 "Los Angeles Kings" 225.4 78 35 19 54 -2 3 247 111 28 0 0 0 0
"Moritz Seider" "D" 20212022 "Detroit Red Wings" 222.2 82 7 43 50 -9 2 187 151 161 0 0 0 0
"Darcy Kuemper" "G" 20212022 "Colorado Avalanche" 221 57 0 0 0 0 0 0 0 0 37 138 1616 5
"Jeff Skinner" "W" 20212022 "Buffalo Sabres" 219 80 33 30 63 -14 0 262 29 20 0 0 0 0
"Mark Scheifele" "C" 20212022 "Winnipeg Jets" 217 67 29 41 70 -17 0 159 36 47 0 0 0 0
"Andrei Vasilevskiy" "G" 20212022 "Tampa Bay Lightning" 216 63 0 0 0 0 0 0 0 0 39 156 1712 2
"Justin Faulk" "D" 20212022 "St. Louis Blues" 215.8 76 16 31 47 41 0 167 149 101 0 0 0 0
"Michael Bunting" "W" 20212022 "Toronto Maple Leafs" 215.4 79 23 40 63 27 0 175 85 21 0 0 0 0
"Troy Terry" "W" 20212022 "Anaheim Ducks" 215.4 75 37 30 67 -11 0 192 6 27 0 0 0 0
"Sam Bennett" "C" 20212022 "Florida Panthers" 215.2 71 28 21 49 27 1 241 119 27 0 0 0 0
"Andrew Mangiapane" "W" 20212022 "Calgary Flames" 215.2 82 35 20 55 20 3 185 73 32 0 0 0 0
"Tanner Jeannot" "W" 20212022 "Nashville Predators" 215.2 81 24 17 41 2 1 124 318 64 0 0 0 0
"Robert Thomas" "C" 20212022 "St. Louis Blues" 215.2 72 20 57 77 17 3 115 13 25 0 0 0 0
"Gabriel Landeskog" "W" 20212022 "Colorado Avalanche" 215.1 51 30 29 59 27 0 150 94 34 0 0 0 0
"Alex Pietrangelo" "D" 20212022 "Vegas Golden Knights" 214.9 80 13 31 44 7 4 227 66 164 0 0 0 0
"Joel Eriksson Ek" "C" 20212022 "Minnesota Wild" 214.2 77 26 23 49 16 0 223 138 44 0 0 0 0
"Teuvo Teravainen" "W" 20212022 "Carolina Hurricanes" 214 77 22 43 65 22 3 202 15 30 0 0 0 0
"Tyler Bertuzzi" "W" 20212022 "Detroit Red Wings" 214 68 30 32 62 -11 2 180 65 41 0 0 0 0
"Noah Dobson" "D" 20212022 "New York Islanders" 213.9 80 13 38 51 -3 0 190 78 154 0 0 0 0
"Vincent Trocheck" "C" 20212022 "Carolina Hurricanes" 213.7 81 21 30 51 21 0 168 185 46 0 0 0 0
"Aaron Ekblad" "D" 20212022 "Florida Panthers" 212.5 61 15 42 57 38 3 180 62 69 0 0 0 0
"Ivan Barbashev" "C" 20212022 "St. Louis Blues" 211.8 81 26 34 60 4 2 111 160 28 0 0 0 0
"Brent Burns" "D" 20212022 "San Jose Sharks" 211.1 82 10 44 54 -15 1 203 55 150 0 0 0 0
"Nick Suzuki" "C" 20212022 "Montréal Canadiens" 210.9 82 21 40 61 -29 3 186 89 62 0 0 0 0
"Taylor Hall" "W" 20212022 "Boston Bruins" 210.5 81 20 41 61 11 0 217 55 36 0 0 0 0
"Devon Toews" "D" 20212022 "Colorado Avalanche" 210.5 66 13 44 57 52 0 158 54 85 0 0 0 0
"Logan Couture" "C" 20212022 "San Jose Sharks" 210.3 77 23 33 56 -11 3 199 92 58 0 0 0 0
"Connor Hellebuyck" "G" 20212022 "Winnipeg Jets" 209.9 66 0 0 0 0 0 0 0 0 29 193 1962 4
"Claude Giroux" "W" 20212022 "Philadelphia Flyers" 208.9 75 21 44 65 -5 0 205 68 16 0 0 0 0
"Bo Horvat" "C" 20212022 "Vancouver Canucks" 208.4 70 31 21 52 3 1 194 96 45 0 0 0 0
"Nikolaj Ehlers" "W" 20212022 "Winnipeg Jets" 206.9 62 28 27 55 18 0 245 32 27 0 0 0 0
"Brock Nelson" "C" 20212022 "New York Islanders" 206.8 72 37 22 59 -5 0 171 31 43 0 0 0 0
"Darnell Nurse" "D" 20212022 "Edmonton Oilers" 206.8 71 9 26 35 18 3 203 196 132 0 0 0 0
"Tim Stützle" "W" 20212022 "Ottawa Senators" 206.7 79 22 36 58 -27 1 176 125 52 0 0 0 0
"Josh Norris" "C" 20212022 "Ottawa Senators" 206.3 66 35 20 55 -7 0 172 79 44 0 0 0 0
"Tristan Jarry" "G" 20212022 "Pittsburgh Penguins" 205.55 58 0 0 0 0 0 0 0 0 34 138 1573 4
"Clayton Keller" "W" 20212022 "Arizona Coyotes" 205 67 28 35 63 3 2 177 17 31 0 0 0 0
"Phillip Danault" "C" 20212022 "Los Angeles Kings" 204.5 79 27 24 51 14 3 194 74 49 0 0 0 0
"Thatcher Demko" "G" 20212022 "Vancouver Canucks" 204.45 64 0 0 0 0 0 0 0 0 33 168 1799 1
"Chandler Stephenson" "C" 20212022 "Vegas Golden Knights" 204.3 79 21 43 64 5 2 125 68 44 0 0 0 0
"Zach Hyman" "W" 20212022 "Edmonton Oilers" 203 76 27 27 54 -9 4 213 74 31 0 0 0 0
"Nikita Kucherov" "W" 20212022 "Tampa Bay Lightning" 203 47 25 44 69 1 0 156 32 7 0 0 0 0
"Ilya Sorokin" "G" 20212022 "New York Islanders" 202.6 52 0 0 0 0 0 0 0 0 26 123 1520 7
"Seth Jones" "D" 20212022 "Chicago Blackhawks" 202 78 5 46 51 -37 1 194 99 155 0 0 0 0
"Alex Killorn" "W" 20212022 "Tampa Bay Lightning" 201.5 82 25 34 59 1 0 164 88 26 0 0 0 0
"Oliver Bjorkstrand" "W" 20212022 "Columbus Blue Jackets" 200.8 80 28 29 57 -35 0 215 85 31 0 0 0 0
"Brayden Point" "C" 20212022 "Tampa Bay Lightning" 200.8 66 28 30 58 -5 0 176 75 27 0 0 0 0
"Ryan Johansen" "C" 20212022 "Nashville Predators" 199.9 79 26 37 63 -2 0 118 72 35 0 0 0 0
"Quinn Hughes" "D" 20212022 "Vancouver Canucks" 199.6 76 8 60 68 10 2 150 19 56 0 0 0 0
"Valeri Nichushkin" "W" 20212022 "Colorado Avalanche" 199.2 62 25 27 52 21 2 180 89 27 0 0 0 0
"Rasmus Dahlin" "D" 20212022 "Buffalo Sabres" 198.9 80 13 40 53 -22 1 170 121 91 0 0 0 0
"Anthony Duclair" "W" 20212022 "Florida Panthers" 198.5 74 31 27 58 19 0 167 38 16 0 0 0 0
"David Perron" "W" 20212022 "St. Louis Blues" 198.1 67 27 30 57 8 0 177 80 11 0 0 0 0
"Nico Hischier" "C" 20212022 "New Jersey Devils" 197.7 70 21 39 60 -1 2 153 50 48 0 0 0 0
"Brayden Schenn" "C" 20212022 "St. Louis Blues" 197.4 62 24 34 58 21 0 111 119 17 0 0 0 0
"Andre Burakovsky" "W" 20212022 "Colorado Avalanche" 197.4 80 22 39 61 12 0 149 49 34 0 0 0 0
"Shea Theodore" "D" 20212022 "Vegas Golden Knights" 197.3 78 14 38 52 6 0 205 37 97 0 0 0 0
"Rasmus Andersson" "D" 20212022 "Calgary Flames" 194.5 82 4 46 50 30 1 152 63 125 0 0 0 0
"Marcus Foligno" "W" 20212022 "Minnesota Wild" 194.3 74 23 19 42 25 0 98 238 42 0 0 0 0
"Trevor Zegras" "C" 20212022 "Anaheim Ducks" 194.2 75 23 38 61 -21 0 181 56 27 0 0 0 0
"Bryan Rust" "W" 20212022 "Pittsburgh Penguins" 193.9 60 24 34 58 7 0 180 43 24 0 0 0 0
"Evan Bouchard" "D" 20212022 "Edmonton Oilers" 192.6 81 12 31 43 10 1 205 80 112 0 0 0 0
"Andrew Copp" "C" 20212022 "Winnipeg Jets" 192.4 72 21 32 53 15 3 183 45 41 0 0 0 0
"Sergei Bobrovsky" "G" 20212022 "Florida Panthers" 191.75 54 0 0 0 0 0 0 0 0 39 137 1429 3
"Mikael Granlund" "C" 20212022 "Nashville Predators" 191.6 80 11 53 64 -9 0 117 92 45 0 0 0 0
"Frederik Andersen" "G" 20212022 "Carolina Hurricanes" 191.2 52 0 0 0 0 0 0 0 0 35 111 1320 4
"Noah Hanifin" "D" 20212022 "Calgary Flames" 190.7 81 10 38 48 27 1 189 63 84 0 0 0 0
"Ryan O'Reilly" "C" 20212022 "St. Louis Blues" 190.3 78 21 37 58 11 1 168 20 38 0 0 0 0
"Jamie Benn" "W" 20212022 "Dallas Stars" 190.1 82 18 28 46 -13 1 182 143 60 0 0 0 0
"Blake Wheeler" "W" 20212022 "Winnipeg Jets" 189.4 65 17 43 60 -15 0 167 62 37 0 0 0 0
"Carter Verhaeghe" "C" 20212022 "Florida Panthers" 189.4 78 24 31 55 24 0 167 50 16 0 0 0 0
"Trevor Moore" "C" 20212022 "Los Angeles Kings" 188.8 81 17 31 48 20 6 202 69 32 0 0 0 0
"Tyler Seguin" "C" 20212022 "Dallas Stars" 188.4 81 24 25 49 -21 0 218 96 33 0 0 0 0
"Ondrej Palat" "W" 20212022 "Tampa Bay Lightning" 187.5 77 18 31 49 15 1 143 124 42 0 0 0 0
"Conor Garland" "W" 20212022 "Vancouver Canucks" 186 77 19 33 52 18 0 203 52 22 0 0 0 0
"Cam Atkinson" "W" 20212022 "Philadelphia Flyers" 185.9 73 23 27 50 -2 3 215 20 45 0 0 0 0
"Shayne Gostisbehere" "D" 20212022 "Arizona Coyotes" 185.8 82 14 37 51 -23 0 151 60 115 0 0 0 0
"Lucas Raymond" "W" 20212022 "Detroit Red Wings" 183.8 82 23 34 57 -32 0 184 62 24 0 0 0 0
"Travis Konecny" "W" 20212022 "Philadelphia Flyers" 183.3 79 16 36 52 -23 0 220 80 34 0 0 0 0
"Jeff Carter" "C" 20212022 "Pittsburgh Penguins" 182.4 76 19 26 45 -8 1 200 99 50 0 0 0 0
"Tyler Toffoli" "W" 20212022 "Montréal Canadiens" 181.9 74 20 29 49 -5 3 195 81 24 0 0 0 0
"Viktor Arvidsson" "W" 20212022 "Los Angeles Kings" 181.8 66 20 29 49 1 0 227 23 45 0 0 0 0
"Zach Werenski" "D" 20212022 "Columbus Blue Jackets" 181.8 68 11 37 48 -15 1 216 33 95 0 0 0 0
"Jared McCann" "W" 20212022 "Seattle Kraken" 181.7 74 27 23 50 -26 1 199 65 29 0 0 0 0
"Alexander Kerfoot" "C" 20212022 "Toronto Maple Leafs" 181.6 82 13 38 51 19 3 117 75 65 0 0 0 0
"Evan Rodrigues" "C" 20212022 "Pittsburgh Penguins" 181.3 82 19 24 43 3 0 243 89 30 0 0 0 0
"Josh Morrissey" "D" 20212022 "Winnipeg Jets" 180.9 79 12 25 37 -3 0 173 150 104 0 0 0 0
"Ryan Strome" "C" 20212022 "New York Rangers" 180.6 74 21 33 54 15 1 161 41 19 0 0 0 0
"Mikhail Sergachev" "D" 20212022 "Tampa Bay Lightning" 180.3 78 7 31 38 6 1 149 139 123 0 0 0 0
"Patrik Laine" "W" 20212022 "Columbus Blue Jackets" 180 56 26 30 56 -7 0 167 34 13 0 0 0 0
"Jaccob Slavin" "D" 20212022 "Carolina Hurricanes" 179.8 79 4 38 42 35 2 165 50 121 0 0 0 0
"Elvis Merzlikins" "G" 20212022 "Columbus Blue Jackets" 178.9 59 0 0 0 0 0 0 0 0 27 178 1742 2
"Nino Niederreiter" "W" 20212022 "Carolina Hurricanes" 178.4 75 24 20 44 29 0 144 119 17 0 0 0 0
"Nick Schmaltz" "C" 20212022 "Arizona Coyotes" 177.3 63 23 36 59 1 0 123 15 28 0 0 0 0
"Damon Severson" "D" 20212022 "New Jersey Devils" 177.2 80 11 35 46 -14 1 158 91 92 0 0 0 0
"Tony DeAngelo" "D" 20212022 "Carolina Hurricanes" 177.1 64 10 41 51 30 0 151 41 59 0 0 0 0
"Blake Coleman" "C" 20212022 "Calgary Flames" 177 81 16 17 33 16 2 212 163 44 0 0 0 0
"Marc-Andre Fleury" "G" 20212022 "Chicago Blackhawks" 176.75 56 0 0 0 0 0 0 0 0 28 159 1573 4
"Erik Haula" "W" 20212022 "Boston Bruins" 176.5 78 18 26 44 19 0 141 129 36 0 0 0 0
"Anders Lee" "W" 20212022 "New York Islanders" 176.3 76 28 18 46 -11 0 159 94 30 0 0 0 0
"Jean-Gabriel Pageau" "C" 20212022 "New York Islanders" 175.3 77 18 21 39 0 4 126 171 53 0 0 0 0
"Jack Campbell" "G" 20212022 "Toronto Maple Leafs" 174.65 49 0 0 0 0 0 0 0 0 31 123 1307 5
"Ross Colton" "C" 20212022 "Tampa Bay Lightning" 174.4 79 22 17 39 4 0 159 153 36 0 0 0 0
"Mathew Barzal" "C" 20212022 "New York Islanders" 173 73 15 44 59 -15 0 161 36 17 0 0 0 0
"Colton Parayko" "D" 20212022 "St. Louis Blues" 172.9 80 6 29 35 16 0 135 72 169 0 0 0 0
"Anthony Cirelli" "C" 20212022 "Tampa Bay Lightning" 172.8 76 17 26 43 15 1 146 75 67 0 0 0 0
"Jordan Staal" "C" 20212022 "Carolina Hurricanes" 172.6 78 17 19 36 11 0 146 212 29 0 0 0 0
"Boone Jenner" "C" 20212022 "Columbus Blue Jackets" 172.5 59 23 21 44 -11 0 160 80 56 0 0 0 0
"Gustav Nyquist" "C" 20212022 "Columbus Blue Jackets" 172.3 82 18 35 53 -12 4 122 41 51 0 0 0 0
"Jack Hughes" "C" 20212022 "New Jersey Devils" 171.9 49 26 30 56 -16 0 165 6 15 0 0 0 0
"Rickard Rakell" "W" 20212022 "Anaheim Ducks" 171.8 70 20 21 41 0 0 184 99 44 0 0 0 0
"Brady Skjei" "D" 20212022 "Carolina Hurricanes" 171.3 82 9 30 39 22 0 184 95 73 0 0 0 0
"Evander Kane" "W" 20212022 "Edmonton Oilers" 171.2 43 22 17 39 25 3 152 135 11 0 0 0 0
"Cam Talbot" "G" 20212022 "Minnesota Wild" 170.8 49 0 0 0 0 0 0 0 0 32 132 1356 3
"Radko Gudas" "D" 20212022 "Florida Panthers" 170.5 77 3 13 16 27 1 100 355 118 0 0 0 0
"Mason Marchment" "W" 20212022 "Florida Panthers" 170.4 54 18 29 47 29 0 121 114 9 0 0 0 0
"Brandon Saad" "W" 20212022 "St. Louis Blues" 169.9 78 24 25 49 11 3 158 20 20 0 0 0 0
"Jakub Voracek" "W" 20212022 "Columbus Blue Jackets" 169.3 79 6 56 62 -13 0 147 27 28 0 0 0 0
"Brock Boeser" "W" 20212022 "Vancouver Canucks" 168.3 71 23 23 46 -5 1 195 35 26 0 0 0 0
"Erik Johnson" "D" 20212022 "Colorado Avalanche" 168.2 77 8 17 25 22 2 139 165 136 0 0 0 0
"Dmitry Orlov" "D" 20212022 "Washington Capitals" 167.9 76 12 23 35 25 0 127 124 94 0 0 0 0
"Jake DeBrusk" "W" 20212022 "Boston Bruins" 167.5 77 25 17 42 6 0 184 62 25 0 0 0 0
"Ivan Provorov" "D" 20212022 "Philadelphia Flyers" 167.4 79 9 22 31 -20 2 170 74 172 0 0 0 0
"Yanni Gourde" "C" 20212022 "Seattle Kraken" 167.2 74 21 27 48 -13 4 127 77 31 0 0 0 0
"Anton Lundell" "C" 20212022 "Florida Panthers" 166.9 65 18 26 44 33 4 125 26 56 0 0 0 0
"Ryan Nugent-Hopkins" "C" 20212022 "Edmonton Oilers" 166.3 63 11 39 50 3 5 154 42 34 0 0 0 0
"Garnet Hathaway" "W" 20212022 "Washington Capitals" 166.1 76 14 12 26 19 1 124 250 62 0 0 0 0
"Neal Pionk" "D" 20212022 "Winnipeg Jets" 164.8 77 3 31 34 5 0 140 185 91 0 0 0 0
"Mark Giordano" "D" 20212022 "Seattle Kraken" 164.2 75 8 27 35 -9 2 151 75 139 0 0 0 0
"Sean Kuraly" "C" 20212022 "Columbus Blue Jackets" 163.1 77 14 16 30 2 1 121 240 51 0 0 0 0
"Evgenii Dadonov" "W" 20212022 "Vegas Golden Knights" 163.1 78 20 23 43 4 0 177 65 25 0 0 0 0
"Kevin Shattenkirk" "D" 20212022 "Anaheim Ducks" 163 82 8 27 35 -9 0 163 73 135 0 0 0 0
"Alex Iafallo" "W" 20212022 "Los Angeles Kings" 162.7 79 17 20 37 4 2 215 48 53 0 0 0 0
"Yegor Sharangovich" "C" 20212022 "New Jersey Devils" 161.2 76 24 22 46 -14 2 168 30 26 0 0 0 0
"Kyle Okposo" "W" 20212022 "Buffalo Sabres" 160.8 74 21 24 45 -15 2 174 59 19 0 0 0 0
"Gustav Forsling" "D" 20212022 "Florida Panthers" 160.1 71 10 27 37 41 0 145 45 86 0 0 0 0
"Kailer Yamamoto" "W" 20212022 "Edmonton Oilers" 160.1 81 20 21 41 -1 2 114 114 36 0 0 0 0
"Lawson Crouse" "W" 20212022 "Arizona Coyotes" 159.5 65 20 14 34 -9 1 131 181 36 0 0 0 0
"Thomas Chabot" "D" 20212022 "Ottawa Senators" 159.2 59 7 31 38 -3 0 173 73 93 0 0 0 0
"Vladislav Gavrikov" "D" 20212022 "Columbus Blue Jackets" 158.9 80 5 28 33 -3 1 108 124 138 0 0 0 0
"Torey Krug" "D" 20212022 "St. Louis Blues" 158.3 64 9 34 43 23 1 119 53 70 0 0 0 0
"Jack Roslovic" "C" 20212022 "Columbus Blue Jackets" 158.3 81 22 23 45 2 0 131 60 25 0 0 0 0
"Mikael Backlund" "C" 20212022 "Calgary Flames" 158.1 82 12 27 39 16 0 214 62 27 0 0 0 0
"Charlie Coyle" "C" 20212022 "Boston Bruins" 157.9 82 16 28 44 -6 1 131 84 39 0 0 0 0
"Brandon Hagel" "W" 20212022 "Chicago Blackhawks" 157.8 77 25 19 44 -18 3 125 63 32 0 0 0 0
"Cam Fowler" "D" 20212022 "Anaheim Ducks" 157.3 76 9 33 42 -9 0 124 37 116 0 0 0 0
"Paul Stastny" "C" 20212022 "Winnipeg Jets" 156.9 71 21 24 45 14 0 141 27 27 0 0 0 0
"Ben Chiarot" "D" 20212022 "Montréal Canadiens" 156.8 74 9 17 26 -14 1 143 157 130 0 0 0 0
"Jared Spurgeon" "D" 20212022 "Minnesota Wild" 156.5 65 10 30 40 32 0 116 44 83 0 0 0 0
"Frederick Gaudreau" "C" 20212022 "Minnesota Wild" 156.5 76 14 30 44 12 2 132 48 43 0 0 0 0
"Artturi Lehkonen" "W" 20212022 "Montréal Canadiens" 156.4 74 19 19 38 1 2 155 82 39 0 0 0 0
"Corey Perry" "W" 20212022 "Tampa Bay Lightning" 155.3 82 19 21 40 9 0 153 73 28 0 0 0 0
"Jordan Eberle" "W" 20212022 "Seattle Kraken" 155 79 21 23 44 -28 0 164 48 40 0 0 0 0
"Jake Oettinger" "G" 20212022 "Dallas Stars" 154.35 48 0 0 0 0 0 0 0 0 30 114 1217 1
"John Klingberg" "D" 20212022 "Dallas Stars" 153.9 74 6 41 47 -28 0 139 57 77 0 0 0 0
"Nicolas Roy" "C" 20212022 "Vegas Golden Knights" 153.8 78 15 24 39 12 1 145 85 34 0 0 0 0
"Adam Larsson" "D" 20212022 "Seattle Kraken" 153.5 82 8 17 25 -23 0 119 183 140 0 0 0 0
"Victor Olofsson" "W" 20212022 "Buffalo Sabres" 153.5 72 20 29 49 -16 1 164 10 15 0 0 0 0
"Dylan Strome" "C" 20212022 "Chicago Blackhawks" 153.5 69 22 26 48 -6 0 126 11 33 0 0 0 0
"Craig Smith" "C" 20212022 "Boston Bruins" 153.4 74 16 20 36 2 0 187 95 28 0 0 0 0
"Martin Fehervary" "D" 20212022 "Washington Capitals" 153 79 8 9 17 15 2 96 251 117 0 0 0 0
"Conor Sheary" "W" 20212022 "Washington Capitals" 152.4 71 19 24 43 -2 0 129 45 44 0 0 0 0
"Brandon Montour" "D" 20212022 "Florida Panthers" 152.4 81 11 26 37 15 0 153 64 65 0 0 0 0
